module_path,testray_component,team_name
,AI,Content Management
,API Builder,Headless
,Accessibility Checker Tool,Platform Experience
,Accessibility Framework,Platform Experience
,Activities Widget,Page Management
,Alloy UI,Frontend Infrastructure
,Announcements & Alerts widgets,Content Management
,App Management,Site Management
,Application Display Templates,Page Management
,Applications Menu,Site Management
,Asset Sharing Framework,Content Management
,Business Productivity,Business Process Management
,CMS,Content Management
,CMS dashboard,Content Management
,Categories,Content Management
,Clay,Frontend Infrastructure
,Collections,Page Management
,Comments,Content Management
,Content Display Widgets,Content Management
,Content Page Experience Personalization,Page Management
,Content Publishing,Site Management
,Control Panel Framework,Site Management
,DXP Components Web,Page Management
,DXP Editors,Frontend Infrastructure
,Data Integration,Database Infrastructure
,Database Access,Database Infrastructure
,Database Partitioning,Database Infrastructure
,Database Upgrade Framework,Database Infrastructure
,Database Upgrade Tool,Database Infrastructure
,Dev Tools,Dev Tools
,Document Repository Framework,Content Management
,Documents & Media,Content Management
,Environments,Core Infrastructure
,Fault Tolerance,Core Infrastructure
,Fragments Toolkit,Page Management
,Frontend Infra,Frontend Infrastructure
,Frontend Token Infrastructure,Frontend Infrastructure
,Headless Admin Content API,Headless
,Headless Admin Site API,Headless
,Headless Admin Taxonomy API,Headless
,Headless Admin User API,Headless
,Headless Delivery API,Headless
,Headless Discovery Application,Headless
,Headless Site API,Headless
,Headless Site Pages API,Headless
,Image Editor,Content Management
,Information Templates,Page Management
,Invite Members widget,Commerce
,Item Selector (React)(CMS),Content Management
,JS APIs and Utilities,Headless
,JS Portlet Extender,Frontend Infrastructure
,JS Toolkit,Frontend Infrastructure
,Knowledge Base Widget,Content Management
,LES,Search
,Liferay Faces,Core Infrastructure
,Mail,Core Infrastructure
,Media Gallery widget,Content Management
,Minifier,Frontend Infrastructure
,My Account,Commerce
,Out of the box Fragments,Page Management
,Page Flags widget,Page Management
,Page Templates,Page Management
,Pages,Page Management
,Performance,Core Infrastructure
,Portal Configuration ,Core Infrastructure
,Product Menu,Page Management
,REST Builder,Headless
,REST infrastructure (vulcan),Headless
,SEO Tools,Site Management
,SPA Engine (Senna),Page Management
,Search Container,Search
,Search Tuning,Search
,Segments Editor,Analytics Cloud
,Simulation Menu,Page Management
,Site Management,Site Management
,Social Activity,Content Management
,Squad:Infrastructure,Core Infrastructure
,Tag Libraries,Frontend Infrastructure
,Tags,Frontend Infrastructure
,Tasks Portlet,Page Management
,Template Code Editor,Page Management
,Upgrade Logging,Database Infrastructure
,Upgrade Report,Database Infrastructure
,Upgrade Source Formatter,Database Infrastructure
,Utility Pages,Page Management
,WebDAV access,Core Infrastructure
,~ [Archived] Core Infrastructure,Core Infrastructure
,~ [Archived] Frontend Infrastructure,Frontend Infrastructure
,~ [Archived] Search Infrastructure,Search
,~[Archived] Application Security,Application Security
,~[Archived]Analytics Cloud,Analytics Cloud
modules/apps/accessibility,Accessibility Framework,
modules/apps/accessibility,Accessibility Menu,Platform Experience
modules/apps/account,Account,Commerce
modules/apps/adaptive-media,Adaptive Media,Content Management
modules/apps/address,Address,Commerce
modules/apps/ai-creator,AI-Creator,Content Management
modules/apps/ai-hub-cell,AI Hub Cell,NoMappedTeam
modules/apps/ai/ai-hub-web,AI Hub,
modules/apps/analytics,Analytics Cloud,Analytics Cloud
modules/apps/announcements,Announcements,Content Management
modules/apps/application-list,Control Menu,Platform Experience
modules/apps/archived,Archived Apps,NoMappedTeam
modules/apps/asset,Asset Framework,Content Management
modules/apps/asset-categories-admin,Categories,
modules/apps/asset-list,Asset Framework,
modules/apps/asset-tags-admin,Tags,
modules/apps/asset-tags-validator,Asset Publisher Widget,Content Management
modules/apps/auto-tagging,Auto Tagging,
modules/apps/batch-engine,Headless Batch Engine API,Headless
modules/apps/batch-planner,Data Migration Center,Headless
modules/apps/bean-portlet,Bean Portlet,Core Infrastructure
modules/apps/blogs,Blogs,Content Management
modules/apps/bookmarks,Bookmarks,Content Management
modules/apps/bulk,Documents and Media,Content Management
modules/apps/calendar,Calendar,Business Process Management
modules/apps/captcha,CAPTCHA,Application Security
modules/apps/change-tracking,Publications,Site Management
modules/apps/changeset,Staging,Site Management
modules/apps/click-to-chat,Click to Chat,Site Management
modules/apps/client-extension,Frontend Client Extensions,Frontend Infrastructure
modules/apps/comment,Comment,Content Management
modules/apps/commerce,Commerce,Commerce
modules/apps/commerce,Order Management,Commerce
modules/apps/commerce,Product Info Management,
modules/apps/commerce,Product Information Management,Commerce
modules/apps/commerce,Shopping Experience,Commerce
modules/apps/company,Virtual Instances,Core Infrastructure
modules/apps/configuration-admin,System Settings,Platform Experience
modules/apps/connected-app,Documents and Media,Content Management
modules/apps/consent-management-platform,Application Security,Application Security
modules/apps/contacts,Contacts Center,Commerce
modules/apps/content-dashboard,Content Dashboard,Content Management
modules/apps/cookies,Cookies,Application Security
modules/apps/counter,Portal Services,Core Infrastructure
modules/apps/data-cleanup,Data Cleanup,Database Infrastructure
modules/apps/data-engine,Data Engine,Business Process Management
modules/apps/depot,Asset Libraries,Content Management
modules/apps/design-library,Design Library,Frontend Infrastructure
modules/apps/diff,Portal Services,NoMappedTeam
modules/apps/digital-signature,Digital Signature,Business Process Management
modules/apps/dispatch,Job Scheduler,Headless
modules/apps/document-library,Documents and Media,Content Management
modules/apps/document-library-google-docs,External Document Repositories,Content Management
modules/apps/document-library-opener,External Document Repositories,Content Management
modules/apps/dynamic-data-lists,Dynamic Data Lists,Business Process Management
modules/apps/dynamic-data-mapping,Dynamic Data Mapping,Business Process Management
modules/apps/expando,Custom Fields,Core Infrastructure
modules/apps/export-import,Export/Import,Headless
modules/apps/external-reference,Portal Services,Core Infrastructure
modules/apps/feature-flag,Feature Flag,Platform Experience
modules/apps/flags,Page > Page Flags,Content Management
modules/apps/fragment,Fragment Administration,Page Management
modules/apps/fragment,Out of the box Fragments,
modules/apps/friendly-url,Friendly URL Service,Site Management
modules/apps/frontend-css,Liferay Themes,Platform Experience
modules/apps/frontend-data-set,Frontend Data Set,Frontend Infrastructure
modules/apps/frontend-editor,Frontend Editor,Frontend Infrastructure
modules/apps/frontend-icons,Frontend Other,Frontend Infrastructure
modules/apps/frontend-js,Clay,
modules/apps/frontend-js,Frontend JS,Frontend Infrastructure
modules/apps/frontend-js,JS APIs and Utilities,
modules/apps/frontend-taglib,Frontend Taglib,Frontend Infrastructure
modules/apps/frontend-theme,Liferay Themes,Platform Experience
modules/apps/frontend-token,Style Books,Platform Experience
modules/apps/frontend-view-state,Frontend Other,Frontend Infrastructure
modules/apps/glowroot,Glow Root,Core Infrastructure
modules/apps/gogo-shell,Gogo Shell,Core Infrastructure
modules/apps/google-places,Forms,Content Management
modules/apps/google-places,Google Places,
modules/apps/headless,Content Management Headless,
modules/apps/headless,Headless,Headless
modules/apps/headless,Headless Admin Configuration,
modules/apps/headless,Headless CMP API,
modules/apps/headless,Headless Delivery API,
modules/apps/headless,Headless Portal Instances API,
modules/apps/headless,Headless Site API,
modules/apps/headless/headless-admin-site/headless-admin-site-client/src/main,Headless Site API,
modules/apps/headless/headless-admin-site/headless-admin-site-impl/src/main,Headless Site API,
modules/apps/iframe,IFrame Portlet,Page Management
modules/apps/image,Documents and Media,Content Management
modules/apps/image-uploader,,Content Management
modules/apps/imageio-plugins,Portal Services,Content Management
modules/apps/info,Info Framework,Page Management
modules/apps/invitation,Invite Members,Content Management
modules/apps/ip-geocoder,Analytics Cloud,Content Management
